Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
104,A,1,0,0,0,0,5
104,B,1,0,0,0,0,5
104,C,1,0,0,0,0,5
104,D,1,0,0,0,0,5
104,E,1,8,2.032176121930567,0,0,5
105,A,1,0,0,0,0,5
105,B,1,0,0,0,0,5
105,C,1,0,0,0,0,5
105,D,1,0,0,0,0,5
105,E,1,7,1.7781541066892466,0,0,5
106,A,1,0,0,0,0,5
106,B,1,0,0,0,0,5
106,C,1,0,0,0,0,5
106,D,1,0,0,0,0,5
106,E,1,7,1.7781541066892466,0,0,5
107,A,1,0,0,0,0,5
107,B,1,0,0,0,0,5
107,C,1,0,0,0,0,5
107,D,1,0,0,0,0,5
107,E,1,4,1.0160880609652836,0,0,5
108,A,1,0,0,0,0,5
108,B,1,0,0,0,0,5
108,C,1,0,0,0,0,5
108,D,1,0,0,0,0,5
108,E,1,7,1.7781541066892466,0,0,5
109,A,1,0,0,0,0,5
109,B,1,0,0,0,0,5
109,C,1,0,0,0,0,5
109,D,1,0,0,0,0,5
109,E,1,8,2.032176121930567,0,0,5
110,A,1,0,0,0,0,5
110,B,1,0,0,0,0,5
110,C,1,0,0,0,0,5
110,D,1,0,0,0,0,5
110,E,1,11,2.7942421676545304,0,0,5
111,A,1,0,0,0,0,5
111,B,1,0,0,0,0,5
111,C,1,0,0,0,0,5
111,D,1,0,0,0,0,5
111,E,1,14,3.556308213378493,0,0,5
112,A,1,0,0,0,0,5
112,B,1,0,0,0,0,5
112,C,1,0,0,0,0,5
112,D,1,0,0,0,0,5
112,E,1,15,3.8103302286198137,0,0,5
113,A,1,0,0,0,0,5
113,B,1,0,0,0,0,5
113,C,1,0,0,0,0,5
113,D,1,0,0,0,0,5
113,E,1,15,3.8103302286198137,0,0,5
114,A,1,0,0,0,0,5
114,B,1,0,0,0,0,5
114,C,1,0,0,0,0,5
114,D,1,0,0,0,0,5
114,E,1,11,2.7942421676545304,0,0,5
115,A,1,0,0,0,0,5
115,B,1,0,0,0,0,5
115,C,1,0,0,0,0,5
115,D,1,0,0,0,0,5
115,E,1,10,2.5402201524132093,0,0,5
224,A,1,0,0,0,0,5
224,B,1,0,0,0,0,5
224,C,1,0,0,0,0,5
224,D,1,0,0,0,0,5
224,E,1,5,1.2701100762066047,0,0,5
225,A,1,0,0,0,0,5
225,B,1,0,0,0,0,5
225,C,1,0,0,0,0,5
225,D,1,0,0,0,0,5
225,E,1,5,1.2701100762066047,0,0,5
226,A,1,0,0,0,0,5
226,B,1,0,0,0,0,5
226,C,1,0,0,0,0,5
226,D,1,0,0,0,0,5
226,E,1,5,1.2701100762066047,0,0,5
227,A,1,0,0,0,0,5
227,B,1,0,0,0,0,5
227,C,1,0,0,0,0,5
227,D,1,0,0,0,0,5
227,E,1,4,1.0160880609652836,0,0,5
228,A,1,0,0,0,0,5
228,B,1,0,0,0,0,5
228,C,1,0,0,0,0,5
228,D,1,0,0,0,0,5
228,E,1,4,1.0160880609652836,0,0,5
229,A,1,0,0,0,0,5
